product_id,product_name,category_id,brand,unit_cost,list_price,launch_date,product_status
82,ZenGear Rice Cooker,2,ZenGear,55.52,101.19,2024-07-15,Active
83,SwiftGear Air Fryer,2,SwiftGear,80.2,137.44,2024-05-15,Active
84,PeakStyle Electric Kettle,2,PeakStyle,14.23,31.1,2023-09-29,Active
85,VitalPro Facial Serum,3,VitalPro,23.34,38.88,2022-07-28,Active
86,ZenFit Makeup Brush Set,3,ZenFit,4.1,10.59,2024-03-11,Active
87,VitalPro Hair Dryer,3,VitalPro,22.51,44.44,2021-11-24,Active
88,NimbusPro Moisturizer,3,NimbusPro,31.7,59.87,2023-04-20,Active
89,PurePro Shampoo Bar,3,PurePro,2.87,5.37,2023-05-20,Active
90,LumenStyle Perfume,3,LumenStyle,4.07,8.18,2025-07-19,Active
91,LumenPro Facial Serum,3,LumenPro,3.91,5.68,2025-03-18,Active
92,NovaGear Lip Balm Set,3,NovaGear,21.93,41.27,2022-07-22,Active
93,NimbusGear Moisturizer,3,NimbusGear,8.24,28.34,2023-08-02,Clearance
94,CrispWorks Lip Balm Set,3,CrispWorks,3.15,6.82,2022-03-10,Active
95,VitalCo Facial Serum,3,VitalCo,4.61,7.35,2025-05-15,Active
96,BoldPro Lip Balm Set,3,BoldPro,7.3,29.18,2025-03-10,Active
97,VitalPro Facial Serum,3,VitalPro,2.58,5.55,2022-09-16,Active
98,PureCraft Moisturizer,3,PureCraft,3.23,6.28,2024-03-08,Active
99,PureWorks Sunscreen SPF50,3,PureWorks,9.98,24.31,2024-01-20,Active
100,CrispFit Skincare Set,3,CrispFit,6.63,10.57,2022-01-28,Active
101,UrbanCo Makeup Brush Set,3,UrbanCo,3.37,7.23,2024-09-20,Active
102,NimbusGear Makeup Brush Set,3,NimbusGear,2.97,6.72,2023-10-02,Active
103,AeroFit Shampoo Bar,3,AeroFit,10.34,22.82,2024-10-15,Active
104,EcoTech Makeup Brush Set,3,EcoTech,6.0,8.59,2023-09-18,Active
105,LumenPro Lip Balm Set,3,LumenPro,5.15,16.24,2021-06-01,Active
106,EcoCraft Sunscreen SPF50,3,EcoCraft,13.85,28.61,2022-10-27,Active
107,PureFit Lip Balm Set,3,PureFit,11.49,19.57,2021-07-01,Active
108,CrispWorks Hair Dryer,3,CrispWorks,4.97,17.88,2025-06-10,Active
109,HomeGear Eyeshadow Palette,3,HomeGear,9.9,18.22,2025-03-23,Active
110,VitalWorks Eyeshadow Palette,3,VitalWorks,6.43,17.07,2025-01-07,Discontinued
111,BoldStyle Eyeshadow Palette,3,BoldStyle,3.97,10.04,2022-09-30,Active
112,NovaLabs Hair Dryer,3,NovaLabs,15.52,31.66,2021-08-31,Active
113,PeakStyle Makeup Brush Set,3,PeakStyle,3.93,7.32,2025-03-21,Active
114,PrimeWorks Hair Dryer,3,PrimeWorks,13.53,54.11,2025-07-09,Active
115,EcoFit Perfume,3,EcoFit,14.02,28.86,2021-10-14,Active
116,PeakCraft Facial Serum,3,PeakCraft,3.44,8.41,2023-07-10,Active
117,PeakTech Makeup Brush Set,3,PeakTech,33.08,58.4,2021-09-18,Active
118,BoldStyle Skincare Set,3,BoldStyle,2.0,7.11,2024-09-17,Active
119,PrimePro Eyeshadow Palette,3,PrimePro,3.85,14.69,2024-09-25,Active
120,CrispFit Moisturizer,3,CrispFit,18.85,47.63,2021-12-21,Active
121,SmartFit Moisturizer,3,SmartFit,15.83,21.47,2023-06-23,Discontinued
122,ZenFit Lip Balm Set,3,ZenFit,17.1,40.68,2023-10-19,Active
123,EcoLabs Perfume,3,EcoLabs,3.3,5.78,2022-07-25,Active
124,CrispStyle Hair Dryer,3,CrispStyle,15.62,40.77,2025-03-13,Active
125,PeakStyle Hair Dryer,3,PeakStyle,25.9,47.92,2023-04-01,Active
126,VitalCraft Hair Dryer,3,VitalCraft,8.84,17.27,2022-05-02,Active
127,NovaCraft Hiking Backpack,4,NovaCraft,53.56,77.41,2023-10-02,Active
128,LumenFit Resistance Bands,4,LumenFit,17.73,26.14,2024-07-30,Active
129,EcoFit Resistance Bands,4,EcoFit,14.4,25.33,2022-04-15,Active
130,PureWorks Jump Rope,4,PureWorks,63.83,145.19,2022-10-07,Active
131,NimbusLabs Jump Rope,4,NimbusLabs,67.18,90.94,2025-09-23,Active
132,LumenWorks Camping Tent,4,LumenWorks,11.05,30.67,2024-03-25,Active
133,SwiftWorks Hiking Backpack,4,SwiftWorks,106.1,142.1,2023-04-25,Active
134,SwiftStyle Cycling Gloves,4,SwiftStyle,62.38,95.84,2023-08-29,Active
135,UrbanPro Water Bottle,4,UrbanPro,30.21,60.12,2021-12-09,Active
136,CrispFit Hiking Backpack,4,CrispFit,34.98,52.26,2022-05-22,Discontinued
137,SmartWorks Water Bottle,4,SmartWorks,66.64,131.07,2022-11-18,Clearance
138,CrispPro Running Belt,4,CrispPro,19.75,27.28,2023-12-19,Active
139,CrispLabs Jump Rope,4,CrispLabs,88.86,117.87,2022-05-31,Active
140,CrispCraft Yoga Mat,4,CrispCraft,16.21,38.06,2022-05-15,Active
141,ZenPro Hiking Backpack,4,ZenPro,45.72,84.13,2021-09-21,Active
142,VitalLabs Camping Tent,4,VitalLabs,60.37,83.28,2024-02-25,Active
143,VitalCraft Cycling Gloves,4,VitalCraft,35.55,42.71,2022-05-29,Active
144,BoldTech Dumbbell Set,4,BoldTech,89.8,122.41,2025-05-04,Discontinued
145,SwiftCraft Foam Roller,4,SwiftCraft,37.57,106.23,2025-02-20,Active
146,PeakLabs Foam Roller,4,PeakLabs,16.81,31.95,2021-09-21,Active
147,BoldLabs Cycling Gloves,4,BoldLabs,32.67,50.5,2022-06-12,Active
148,PureCraft Resistance Bands,4,PureCraft,35.24,48.11,2024-04-24,Active
149,VitalPro Running Belt,4,VitalPro,35.42,77.93,2022-05-06,Active
150,ZenStyle Hiking Backpack,4,ZenStyle,68.12,96.18,2021-12-27,Active
151,PrimeGear Running Belt,4,PrimeGear,24.28,44.78,2025-06-20,Active
152,SmartGear Cycling Gloves,4,SmartGear,40.88,72.05,2023-11-21,Active
153,BoldFit Dumbbell Set,4,BoldFit,10.37,33.03,2023-06-19,Active
154,PrimeFit Cycling Gloves,4,PrimeFit,51.12,101.83,2024-10-25,Active
155,NimbusGear Water Bottle,4,NimbusGear,71.03,107.61,2024-11-30,Active
156,SwiftWorks Resistance Bands,4,SwiftWorks,28.76,68.45,2022-03-29,Active
157,PrimeGear Cycling Gloves,4,PrimeGear,26.38,54.31,2021-11-01,Active
158,VitalLabs Resistance Bands,4,VitalLabs,23.64,26.91,2023-04-14,Discontinued
159,NimbusWorks Dumbbell Set,4,NimbusWorks,27.55,43.77,2023-04-02,Active
160,VitalCo Running Belt,4,VitalCo,19.98,27.86,2023-06-10,Active
161,NimbusFit Foam Roller,4,NimbusFit,31.73,52.74,2024-07-29,Active
162,EcoCraft Camping Tent,4,EcoCraft,15.67,25.06,2024-05-01,Active
163,NovaFit Foam Roller,4,NovaFit,73.16,101.24,2025-09-05,Active
164,EcoFit Running Belt,4,EcoFit,30.09,38.6,2021-11-03,Active
165,PrimeFit Cycling Gloves,4,PrimeFit,97.56,132.41,2023-02-28,Active
166,PrimeStyle Cycling Gloves,4,PrimeStyle,17.49,32.74,2022-11-20,Active
167,NovaGear Yoga Mat,4,NovaGear,17.63,35.03,2025-02-24,Active
168,NovaLabs Jump Rope,4,NovaLabs,17.64,38.55,2022-06-29,Active
169,SwiftStyle Wool Sweater,5,SwiftStyle,12.68,41.68,2022-03-29,Active
170,NovaGear Fleece Vest,5,NovaGear,21.73,41.9,2023-05-12,Active
171,VitalWorks Joggers,5,VitalWorks,22.16,57.75,2023-03-30,Active
172,PureTech Chino Pants,5,PureTech,17.01,36.43,2022-08-15,Active
173,VitalCraft Summer Dress,5,VitalCraft,2.91,6.07,2022-07-01,Active
174,PrimeCraft Cotton T-Shirt,5,PrimeCraft,5.08,7.54,2025-06-01,Active
175,UrbanLabs Linen Shirt,5,UrbanLabs,16.34,45.65,2023-05-03,Active
176,PrimeLabs Denim Jacket,5,PrimeLabs,13.22,27.99,2025-02-23,Active
177,AeroGear Hoodie,5,AeroGear,1.59,5.21,2023-10-20,Active
178,NovaCraft Denim Jacket,5,NovaCraft,23.93,46.49,2021-08-20,Active
179,HomeCo Denim Jacket,5,HomeCo,3.8,5.67,2025-09-29,Active
180,UrbanCraft Summer Dress,5,UrbanCraft,21.36,39.94,2025-01-14,Active
181,HomeFit Linen Shirt,5,HomeFit,5.83,9.39,2025-08-12,Active
182,BoldWorks Chino Pants,5,BoldWorks,9.84,26.93,2025-06-06,Active
183,UrbanLabs Fleece Vest,5,UrbanLabs,7.0,14.17,2025-02-03,Clearance
184,NimbusPro Fleece Vest,5,NimbusPro,10.57,18.21,2022-02-19,Discontinued
185,CrispGear Summer Dress,5,CrispGear,13.28,27.26,2023-07-09,Active
186,EcoFit Denim Jacket,5,EcoFit,5.41,8.21,2022-05-05,Active
187,LumenLabs Summer Dress,5,LumenLabs,6.85,12.82,2023-02-25,Active
188,LumenCo Fleece Vest,5,LumenCo,11.64,34.99,2021-09-01,Active
189,CrispGear Summer Dress,5,CrispGear,20.31,36.33,2023-01-21,Active
190,BoldCraft Fleece Vest,5,BoldCraft,1.54,5.3,2025-09-07,Active
191,CrispLabs Joggers,5,CrispLabs,6.35,13.33,2022-07-25,Active
192,LumenCo Rain Jacket,5,LumenCo,5.58,13.82,2024-10-24,Active
193,VitalWorks Cotton T-Shirt,5,VitalWorks,6.21,12.77,2023-05-22,Active
194,SmartFit Denim Jacket,5,SmartFit,20.62,27.4,2023-04-01,Active
195,PeakFit Denim Jacket,5,PeakFit,16.58,32.52,2025-07-25,Active
196,AeroWorks Hoodie,5,AeroWorks,4.51,7.93,2025-09-23,Active
197,ZenFit Denim Jacket,5,ZenFit,7.16,16.54,2023-10-28,Active
198,NovaLabs Wool Sweater,5,NovaLabs,3.43,6.58,2024-07-12,Active
199,PrimeLabs Chino Pants,5,PrimeLabs,19.09,46.99,2022-02-01,Active
200,LumenCraft Joggers,5,LumenCraft,2.9,5.98,2022-09-13,Active
201,SmartWorks Wool Sweater,5,SmartWorks,25.36,40.9,2025-08-12,Active
202,AeroWorks Denim Jacket,5,AeroWorks,5.23,9.38,2023-12-04,Active
203,PrimeCo Rain Jacket,5,PrimeCo,7.35,10.43,2023-10-07,Active
204,PeakPro Fleece Vest,5,PeakPro,11.23,34.08,2024-08-28,Active
205,EcoTech Hoodie,5,EcoTech,3.28,6.42,2021-08-30,Active
206,LumenCo Denim Jacket,5,LumenCo,6.33,13.97,2023-12-12,Active
207,LumenLabs Denim Jacket,5,LumenLabs,27.92,43.93,2023-08-06,Active
208,BoldLabs Hoodie,5,BoldLabs,5.13,9.19,2025-02-09,Active
209,AeroStyle Cotton T-Shirt,5,AeroStyle,5.32,18.1,2022-02-05,Active
210,CrispCraft Rain Jacket,5,CrispCraft,7.52,14.72,2025-07-30,Active
211,HomeGear Running Shoes,6,HomeGear,74.88,137.94,2021-10-05,Active
212,ZenGear Canvas Sneakers,6,ZenGear,18.38,39.35,2022-03-22,Active
213,HomeGear Running Shoes,6,HomeGear,32.41,74.33,2023-12-29,Active
214,PrimeWorks Dress Shoes,6,PrimeWorks,32.58,34.97,2024-05-04,Active
215,BoldLabs Hiking Boots,6,BoldLabs,17.19,32.88,2022-06-08,Active
216,ZenCo Running Shoes,6,ZenCo,29.46,46.17,2021-12-07,Active
217,NovaLabs Trail Runners,6,NovaLabs,20.62,36.55,2025-04-10,Active
218,CrispFit Trail Runners,6,CrispFit,18.67,25.1,2022-06-25,Active
219,LumenPro Sandals,6,LumenPro,19.34,31.5,2023-12-29,Active
220,ZenWorks Sandals,6,ZenWorks,91.28,130.4,2024-02-06,Active
221,PeakWorks Hiking Boots,6,PeakWorks,38.56,73.21,2023-03-26,Active
222,SwiftWorks Hiking Boots,6,SwiftWorks,16.89,34.34,2023-12-11,Active
223,PurePro Ankle Boots,6,PurePro,76.25,123.72,2023-09-06,Active
224,ZenTech Hiking Boots,6,ZenTech,49.79,136.54,2025-06-19,Active
225,EcoCraft Ankle Boots,6,EcoCraft,51.34,90.79,2022-04-20,Active
226,VitalFit Sandals,6,VitalFit,53.2,79.7,2024-07-08,Active
227,ZenCraft Hiking Boots,6,ZenCraft,14.72,29.47,2022-06-13,Active
228,HomeLabs Trail Runners,6,HomeLabs,18.86,25.9,2023-02-17,Active
229,HomeStyle Ankle Boots,6,HomeStyle,27.33,38.9,2024-04-29,Active
230,BoldStyle Hiking Boots,6,BoldStyle,16.21,32.05,2022-09-18,Active
231,LumenGear Trail Runners,6,LumenGear,55.0,66.03,2022-10-14,Active
232,SmartCo Dress Shoes,6,SmartCo,22.93,39.49,2024-09-03,Active
233,PeakGear Dress Shoes,6,PeakGear,44.54,85.37,2021-09-23,Active
234,EcoLabs Ankle Boots,6,EcoLabs,48.27,74.61,2023-05-27,Active
235,BoldStyle Hiking Boots,6,BoldStyle,32.91,66.33,2025-09-28,Active
236,PrimeStyle Hiking Boots,6,PrimeStyle,24.96,38.72,2025-09-24,Active
237,PrimeStyle Ankle Boots,6,PrimeStyle,57.42,94.99,2021-09-24,Active
238,NimbusPro Sandals,6,NimbusPro,22.85,56.64,2022-05-04,Active
239,SwiftFit Hiking Boots,6,SwiftFit,42.75,71.43,2022-07-25,Active
240,UrbanCo Slip-On Loafers,6,UrbanCo,76.8,116.84,2025-06-17,Clearance
241,NovaCraft Sandals,6,NovaCraft,66.26,112.45,2025-03-26,Active
242,CrispCo Running Shoes,6,CrispCo,38.78,50.29,2025-03-23,Active
243,NimbusTech Running Shoes,6,NimbusTech,49.35,75.88,2023-01-06,Active
244,EcoCo Running Shoes,6,EcoCo,16.9,32.01,2022-02-05,Active
245,ZenStyle Canvas Sneakers,6,ZenStyle,23.38,30.55,2025-01-10,Active
246,SwiftTech Sandals,6,SwiftTech,38.93,67.24,2024-06-18,Active
247,CrispCo Running Shoes,6,CrispCo,88.11,149.84,2024-01-25,Discontinued
248,NimbusLabs Trail Runners,6,NimbusLabs,62.0,143.86,2025-09-10,Active
249,HomeCraft Canvas Sneakers,6,HomeCraft,59.34,83.38,2024-04-01,Active
250,NovaLabs Slip-On Loafers,6,NovaLabs,46.12,108.89,2021-06-13,Active
251,SmartLabs Trail Runners,6,SmartLabs,36.71,60.29,2024-12-15,Active
252,CrispCo Ankle Boots,6,CrispCo,18.51,29.7,2022-09-17,Active
253,UrbanPro Business Strategy Book,7,UrbanPro,3.96,5.01,2024-04-16,Active
254,NovaPro Mystery Novel,7,NovaPro,12.33,25.29,2025-06-26,Active
255,NovaTech Mystery Novel,7,NovaTech,28.28,38.66,2021-12-30,Active
256,BoldPro Mystery Novel,7,BoldPro,7.27,13.33,2021-11-30,Active
257,PrimeLabs Cookbook,7,PrimeLabs,15.93,32.26,2021-11-17,Active
258,VitalCraft Cookbook,7,VitalCraft,5.86,8.39,2023-10-24,Active
259,CrispPro Self-Help Guide,7,CrispPro,4.46,7.73,2022-08-06,Active
260,HomeLabs Poetry Collection,7,HomeLabs,5.39,7.03,2024-01-14,Active
261,LumenCraft Cookbook,7,LumenCraft,53.65,56.47,2024-07-10,Active
262,LumenCo Cookbook,7,LumenCo,18.65,25.53,2022-04-19,Active
263,NovaCo Children's Picture Book,7,NovaCo,18.96,39.19,2024-02-29,Clearance
264,VitalWorks Mystery Novel,7,VitalWorks,20.71,22.29,2022-07-23,Active
265,UrbanCraft Self-Help Guide,7,UrbanCraft,30.87,39.0,2023-07-14,Active
266,CrispLabs Self-Help Guide,7,CrispLabs,15.7,18.29,2025-05-04,Active
267,SwiftLabs History Book,7,SwiftLabs,4.33,5.01,2025-01-30,Active
268,AeroLabs Children's Picture Book,7,AeroLabs,5.5,7.67,2021-10-25,Active
269,BoldWorks History Book,7,BoldWorks,2.71,5.8,2023-04-02,Active
270,LumenWorks Cookbook,7,LumenWorks,14.12,27.06,2022-08-12,Discontinued
271,EcoTech Mystery Novel,7,EcoTech,5.52,7.75,2021-06-06,Active
272,EcoTech Self-Help Guide,7,EcoTech,9.87,12.25,2024-10-03,Active
273,PrimeFit Poetry Collection,7,PrimeFit,6.02,8.33,2024-03-05,Active
274,PureLabs Mystery Novel,7,PureLabs,5.99,6.53,2022-07-20,Active
275,EcoTech Cookbook,7,EcoTech,17.76,32.58,2024-08-17,Active
276,BoldTech Poetry Collection,7,BoldTech,3.56,5.58,2023-10-22,Active
277,ZenGear Mystery Novel,7,ZenGear,28.39,37.07,2023-04-09,Active
278,PureFit Sci-Fi Novel,7,PureFit,16.2,17.05,2021-06-16,Active
279,CrispCraft History Book,7,CrispCraft,4.34,6.87,2021-09-28,Active
280,PureGear Mystery Novel,7,PureGear,35.28,43.02,2025-03-29,Active
281,SwiftCraft Sci-Fi Novel,7,SwiftCraft,18.07,24.11,2025-05-01,Active
282,EcoLabs Sci-Fi Novel,7,EcoLabs,6.62,11.33,2023-10-12,Active
283,EcoWorks Self-Help Guide,7,EcoWorks,15.38,19.83,2025-01-12,Active
284,SwiftPro Sci-Fi Novel,7,SwiftPro,4.8,6.33,2023-12-10,Active
285,NimbusCraft History Book,7,NimbusCraft,14.29,20.24,2022-01-21,Active
286,SmartWorks History Book,7,SmartWorks,31.17,50.11,2021-12-19,Active
287,NimbusPro Children's Picture Book,7,NimbusPro,8.69,13.26,2022-10-01,Active
288,NimbusGear Mystery Novel,7,NimbusGear,2.78,5.5,2025-04-24,Active
289,AeroPro Self-Help Guide,7,AeroPro,39.13,41.55,2024-11-12,Active
290,PeakWorks Mystery Novel,7,PeakWorks,30.34,35.31,2025-02-22,Active
291,NimbusCraft History Book,7,NimbusCraft,7.37,9.79,2025-04-23,Active
292,PureTech Sci-Fi Novel,7,PureTech,11.35,18.96,2022-04-29,Active
293,CrispStyle History Book,7,CrispStyle,15.18,21.89,2022-07-01,Active
294,SmartTech Mystery Novel,7,SmartTech,22.86,37.51,2021-11-10,Active
295,SwiftGear Action Figure,8,SwiftGear,13.65,14.37,2024-10-17,Active
296,PureTech Building Block Set,8,PureTech,25.26,36.03,2025-03-31,Active
297,PeakFit Action Figure,8,PeakFit,3.05,5.31,2023-03-06,Active
298,BoldCraft Action Figure,8,BoldCraft,5.15,7.5,2024-02-08,Active
299,CrispCo Plush Bear,8,CrispCo,9.21,15.75,2022-01-31,Active
300,NovaWorks Plush Bear,8,NovaWorks,6.75,7.99,2025-06-12,Discontinued
301,VitalGear Plush Bear,8,VitalGear,14.81,37.32,2025-02-28,Discontinued
302,EcoCo Action Figure,8,EcoCo,28.14,43.59,2025-08-24,Active
303,HomeCraft Remote Control Car,8,HomeCraft,14.04,18.88,2024-12-05,Active
304,NovaCo Building Block Set,8,NovaCo,14.73,28.88,2025-03-27,Active
305,EcoPro Remote Control Car,8,EcoPro,23.14,40.06,2021-07-10,Active
306,LumenGear Plush Bear,8,LumenGear,12.86,18.89,2024-08-09,Active
307,PeakCraft Doll House,8,PeakCraft,4.84,5.85,2022-11-08,Active
308,ZenStyle Plush Bear,8,ZenStyle,7.69,10.18,2025-06-13,Discontinued
309,SwiftStyle Plush Bear,8,SwiftStyle,20.47,39.33,2024-11-21,Active
310,PeakCraft Toy Kitchen Set,8,PeakCraft,3.95,6.85,2025-02-27,Active
311,EcoWorks Toy Kitchen Set,8,EcoWorks,26.45,55.94,2024-12-05,Active
312,LumenWorks Puzzle 1000pc,8,LumenWorks,10.84,13.06,2022-07-28,Active
313,AeroPro Action Figure,8,AeroPro,25.34,34.72,2024-10-29,Active
314,AeroStyle Board Game,8,AeroStyle,3.08,5.46,2021-11-19,Active
315,UrbanGear Doll House,8,UrbanGear,9.92,18.01,2025-03-12,Active
316,SmartPro Plush Bear,8,SmartPro,3.64,5.65,2025-02-19,Discontinued
317,HomeTech Plush Bear,8,HomeTech,26.15,48.27,2022-05-19,Active
318,PureStyle Plush Bear,8,PureStyle,12.88,36.55,2024-12-14,Active
319,PureGear Plush Bear,8,PureGear,2.21,6.26,2023-05-30,Active
320,PrimeCo Toy Kitchen Set,8,PrimeCo,8.27,12.8,2022-09-27,Active
321,EcoTech Board Game,8,EcoTech,18.48,25.34,2024-11-11,Active
322,PrimeStyle Plush Bear,8,PrimeStyle,15.95,30.06,2022-05-27,Active
323,CrispTech Doll House,8,CrispTech,10.19,17.22,2021-07-08,Active
324,AeroGear Puzzle 1000pc,8,AeroGear,45.59,59.23,2022-04-02,Active
325,LumenCraft Toy Kitchen Set,8,LumenCraft,9.76,21.82,2022-11-02,Active
326,AeroCo Building Block Set,8,AeroCo,25.09,57.29,2025-02-28,Active
327,UrbanWorks Action Figure,8,UrbanWorks,24.4,38.57,2025-08-09,Active
328,NovaGear Puzzle 1000pc,8,NovaGear,8.39,24.4,2022-08-16,Active
329,UrbanCraft Puzzle 1000pc,8,UrbanCraft,18.77,26.55,2024-03-12,Active
